ID,Nombre,Categoría,Descripción Actual,Problemas
"prod_218","RASCADOR 2 EN 1 CON TÚNEL","accesorios","RASCADOR 2 EN 1 CON TÚNEL","Descripción IDÉNTICA al título | Descripción MUY CORTA (25 chars) | longDescription IGUAL a description"
"prod_219","MINI INFINITY - AGATAR","accesorios","MINI INFINITY - AGATAR","Descripción IDÉNTICA al título | Descripción MUY CORTA (22 chars) | longDescription IGUAL a description"
"prod_220","MINI ACUÑA - AGATAR","accesorios","MINI ACUÑA - AGATAR","Descripción IDÉNTICA al título | Descripción MUY CORTA (19 chars) | longDescription IGUAL a description"
"prod_221","MINI SIMON - AGATAR","accesorios","MINI SIMON - AGATAR","Descripción IDÉNTICA al título | Descripción MUY CORTA (19 chars) | longDescription IGUAL a description"
"prod_223","COCODRILO - AGATAR","accesorios","COCODRILO - AGATAR","Descripción IDÉNTICA al título | Descripción MUY CORTA (18 chars) | longDescription IGUAL a description"
"prod_224","TIBURÓN - AGATAR","accesorios","TIBURÓN - AGATAR","Descripción IDÉNTICA al título | Descripción MUY CORTA (16 chars) | longDescription IGUAL a description"
"prod_225","JIRAFA - AGATAR","accesorios","JIRAFA - AGATAR","Descripción IDÉNTICA al título | Descripción MUY CORTA (15 chars) | longDescription IGUAL a description"
"prod_226","HIPOPÓTAMO - AGATAR","accesorios","HIPOPÓTAMO - AGATAR","Descripción IDÉNTICA al título | Descripción MUY CORTA (19 chars) | longDescription IGUAL a description"
"prod_227","Ratón - AGATAR","accesorios","Ratón - AGATAR","Descripción IDÉNTICA al título | Descripción MUY CORTA (14 chars) | longDescription IGUAL a description"
"prod_228","RINOCERONTE MINI - AGATAR","accesorios","RINOCERONTE MINI - AGATAR","Descripción IDÉNTICA al título | Descripción MUY CORTA (25 chars) | longDescription IGUAL a description"
"prod_229","OSO POLAR MINI - AGATAR","accesorios","OSO POLAR MINI - AGATAR","Descripción IDÉNTICA al título | Descripción MUY CORTA (23 chars) | longDescription IGUAL a description"
"prod_231","Gorila Mini - AGATAR","accesorios","Gorila Mini - AGATAR","Descripción IDÉNTICA al título | Descripción MUY CORTA (20 chars) | longDescription IGUAL a description"
"prod_232","CHANCHITO - AGATAR","accesorios","CHANCHITO - AGATAR","Descripción IDÉNTICA al título | Descripción MUY CORTA (18 chars) | longDescription IGUAL a description"
"prod_233","CAJA TRANSPORTADORA - AGATAR","casa-descanso","CAJA TRANSPORTADORA - AGATAR","Descripción IDÉNTICA al título | Descripción MUY CORTA (28 chars) | longDescription IGUAL a description"
"prod_234","JUGUETE ATOMO 10 CM","juguetes","JUGUETE ATOMO 10 CM","Descripción IDÉNTICA al título | Descripción MUY CORTA (19 chars) | longDescription IGUAL a description"
"prod_235","ATOMO CON CHIFLE 15X6CM","juguetes","ATOMO CON CHIFLE 15X6CM","Descripción IDÉNTICA al título | Descripción MUY CORTA (23 chars) | longDescription IGUAL a description"
"prod_236","PELOTA DE TELA X 4 CHICA","juguetes","PELOTA DE TELA X 4 CHICA","Descripción IDÉNTICA al título | Descripción MUY CORTA (24 chars) | longDescription IGUAL a description"
"prod_237","PELOTA TENIS GRANDE X3","juguetes","PELOTA TENIS GRANDE X3","Descripción IDÉNTICA al título | Descripción MUY CORTA (22 chars) | longDescription IGUAL a description"
"prod_240","JUGUETE PELOTA CON LUZ 8CM","juguetes","JUGUETE PELOTA CON LUZ 8CM","Descripción IDÉNTICA al título | Descripción MUY CORTA (26 chars) | longDescription IGUAL a description"
"prod_245","PELOTA BASCULANTE CON LUZ","juguetes","PELOTA BASCULANTE CON LUZ","Descripción IDÉNTICA al título | Descripción MUY CORTA (25 chars) | longDescription IGUAL a description"
"prod_246","PELOTA ASTEROIDE CON LUZ","juguetes","PELOTA ASTEROIDE CON LUZ","Descripción IDÉNTICA al título | Descripción MUY CORTA (24 chars) | longDescription IGUAL a description"
"prod_248","PELOTA DIAMANTE  8CM  PE0091","juguetes","PELOTA DIAMANTE  8CM  PE0091","Descripción IDÉNTICA al título | Descripción MUY CORTA (28 chars) | longDescription IGUAL a description"
"prod_254","PELOTA LISA 4,5CM","juguetes","PELOTA LISA 4,5CM","Descripción IDÉNTICA al título | Descripción MUY CORTA (17 chars) | longDescription IGUAL a description"
"prod_257","PELOTA SPORTING CHICA 4CM","juguetes","PELOTA SPORTING CHICA 4CM","Descripción IDÉNTICA al título | Descripción MUY CORTA (25 chars) | longDescription IGUAL a description"
"prod_258","PELOTA SPORTING MEDIANA 7CM","juguetes","PELOTA SPORTING MEDIANA 7CM","Descripción IDÉNTICA al título | Descripción MUY CORTA (27 chars) | longDescription IGUAL a description"
"prod_259","PELOTA SPORTING GRANDE 9CM","juguetes","PELOTA SPORTING GRANDE 9CM","Descripción IDÉNTICA al título | Descripción MUY CORTA (26 chars) | longDescription IGUAL a description"
"prod_265","PELOTA DE FUTBOOL (17 CM)","juguetes","PELOTA DE FUTBOOL (17 CM)","Descripción IDÉNTICA al título | Descripción MUY CORTA (25 chars) | longDescription IGUAL a description"
"prod_266","PELOTA LISA TRAININ  (12 CM)","juguetes","PELOTA LISA TRAININ  (12 CM)","Descripción IDÉNTICA al título | Descripción MUY CORTA (28 chars) | longDescription IGUAL a description"
"prod_272","MANCUERNA DE GOMA CHICA","juguetes","MANCUERNA DE GOMA CHICA","Descripción IDÉNTICA al título | Descripción MUY CORTA (23 chars) | longDescription IGUAL a description"
"prod_273","MANCUERNA DE GOMA MEDIANA","juguetes","MANCUERNA DE GOMA MEDIANA","Descripción IDÉNTICA al título | Descripción MUY CORTA (25 chars) | longDescription IGUAL a description"
"prod_274","MANCUERNA DE GOMA GRANDE","juguetes","MANCUERNA DE GOMA GRANDE","Descripción IDÉNTICA al título | Descripción MUY CORTA (24 chars) | longDescription IGUAL a description"
"prod_278","ARANDELA DE GOMA CHI","juguetes","ARANDELA DE GOMA CHI","Descripción IDÉNTICA al título | Descripción MUY CORTA (20 chars) | longDescription IGUAL a description"
"prod_279","ARANDELA GOMA MED","juguetes","ARANDELA GOMA MED","Descripción IDÉNTICA al título | Descripción MUY CORTA (17 chars) | longDescription IGUAL a description"
"prod_280","ARANDELA GOMA GRA","juguetes","ARANDELA GOMA GRA","Descripción IDÉNTICA al título | Descripción MUY CORTA (17 chars) | longDescription IGUAL a description"
"prod_284","CHIFLE GALLINA CHICA","juguetes","CHIFLE GALLINA CHICA","Descripción IDÉNTICA al título | Descripción MUY CORTA (20 chars) | longDescription IGUAL a description"
"prod_285","CHIFLE GALLINA MEDIANA","juguetes","CHIFLE  GALLINA MEDIANA","Descripción MUY SIMILAR al título | Descripción MUY CORTA (23 chars) | longDescription IGUAL a description"
"prod_286","CHIFLE GALLINA  GRANDE","juguetes","CHIFLE GALLINA  GRANDE","Descripción IDÉNTICA al título | Descripción MUY CORTA (22 chars) | longDescription IGUAL a description"
"prod_297","JUGUETE DINOSAURIO LATEX 12CM","juguetes","JUGUETE DINOSAURIO LATEX 12CM","Descripción IDÉNTICA al título | Descripción MUY CORTA (29 chars) | longDescription IGUAL a description"
"prod_299","CHIFLE CUERPO ESPIN","juguetes","CHIFLE CUERPO ESPIN","Descripción IDÉNTICA al título | Descripción MUY CORTA (19 chars) | longDescription IGUAL a description"
"prod_304","PELOTA RUGBY CHICO  0132","juguetes","PELOTA RUGBY CHICO  0132","Descripción IDÉNTICA al título | Descripción MUY CORTA (24 chars) | longDescription IGUAL a description"
"prod_305","PELOTA DE LUNA  CHICA   0166","juguetes","PELOTA DE LUNA  CHICA   0166","Descripción IDÉNTICA al título | Descripción MUY CORTA (28 chars) | longDescription IGUAL a description"
"prod_306","PELOTA CON BOLITAS  0164","juguetes","PELOTA CON BOLITAS  0164","Descripción IDÉNTICA al título | Descripción MUY CORTA (24 chars) | longDescription IGUAL a description"
"prod_315","BOTELLA DE CERVEZA  0161","juguetes","BOTELLA DE CERVEZA  0161","Descripción IDÉNTICA al título | Descripción MUY CORTA (24 chars) | longDescription IGUAL a description"
"prod_317","CUPCAKE CON CHIFLE","juguetes","CUPCAKE CON CHIFLE","Descripción IDÉNTICA al título | Descripción MUY CORTA (18 chars) | longDescription IGUAL a description"
"prod_318","ZANAORIA CON CHIFLE","juguetes","ZANAORIA CON CHIFLE","Descripción IDÉNTICA al título | Descripción MUY CORTA (19 chars) | longDescription IGUAL a description"
"prod_319","JUGUETE CHIFLE VERDURAS 001","juguetes","JUGUETE CHIFLE VERDURAS 001","Descripción IDÉNTICA al título | Descripción MUY CORTA (27 chars) | longDescription IGUAL a description"
"prod_320","JUGUETE CHIFLE VERDURAS 002","juguetes","JUGUETE CHIFLE VERDURAS 002","Descripción IDÉNTICA al título | Descripción MUY CORTA (27 chars) | longDescription IGUAL a description"
"prod_325","DONA CHIFLE","juguetes","DONA CHIFLE","Descripción IDÉNTICA al título | Descripción MUY CORTA (11 chars) | longDescription IGUAL a description"
"prod_334","PANCHOS CHICO CHIFLE","juguetes","PANCHOS CHICO CHIFLE","Descripción IDÉNTICA al título | Descripción MUY CORTA (20 chars) | longDescription IGUAL a description"
"prod_338","COSTILLA GRANDE CON CHIFLE","juguetes","COSTILLA GRANDE CON CHIFLE","Descripción IDÉNTICA al título | Descripción MUY CORTA (26 chars) | longDescription IGUAL a description"
"prod_343","CANGREJO CHICO CON CHIFLE","juguetes","CANGREJO CHICO CON CHIFLE","Descripción IDÉNTICA al título | Descripción MUY CORTA (25 chars) | longDescription IGUAL a description"
"prod_345","PERRITO CHIFLE","juguetes","PERRITO CHIFLE","Descripción IDÉNTICA al título | Descripción MUY CORTA (14 chars) | longDescription IGUAL a description"
"prod_347","PERRITO DALMATA","juguetes","PERRITO DALMATA","Descripción IDÉNTICA al título | Descripción MUY CORTA (15 chars) | longDescription IGUAL a description"
"prod_348","HUESO CHIFLE MARRON","juguetes","HUESO CHIFLE MARRON","Descripción IDÉNTICA al título | Descripción MUY CORTA (19 chars) | longDescription IGUAL a description"
"prod_349","HUESITO COLOR FLUOR","juguetes","HUESITO COLOR FLUOR","Descripción IDÉNTICA al título | Descripción MUY CORTA (19 chars) | longDescription IGUAL a description"
"prod_351","COCODRILO CHIFLE  DE 20 CM","juguetes","COCODRILO CHIFLE  DE 20 CM","Descripción IDÉNTICA al título | Descripción MUY CORTA (26 chars) | longDescription IGUAL a description"
"prod_352","TARTA HUELLA","juguetes","TARTA HUELLA","Descripción IDÉNTICA al título | Descripción MUY CORTA (12 chars) | longDescription IGUAL a description"
"prod_353","HAMBURGUESA VEGANA  LIFE","juguetes","HAMBURGUESA VEGANA  LIFE","Descripción IDÉNTICA al título | Descripción MUY CORTA (24 chars) | longDescription IGUAL a description"
"prod_354","HAMBURGUESA CUARTO DE LIBRA","juguetes","HAMBURGUESA CUARTO DE LIBRA","Descripción IDÉNTICA al título | Descripción MUY CORTA (27 chars) | longDescription IGUAL a description"
"prod_355","POLLO HORNEADO","juguetes","POLLO HORNEADO","Descripción IDÉNTICA al título | Descripción MUY CORTA (14 chars) | longDescription IGUAL a description"
"prod_356","MUSLO DE POLLO - 24807, 24070","juguetes","MUSLO DE POLLO - 24807, 24070","Descripción IDÉNTICA al título | Descripción MUY CORTA (29 chars) | longDescription IGUAL a description"
"prod_357","MAZORCA CHOCLO CHIFLE - 24077","juguetes","MAZORCA CHOCLO CHIFLE - 24077","Descripción IDÉNTICA al título | Descripción MUY CORTA (29 chars) | longDescription IGUAL a description"
"prod_358","DONAS CHIFLES - 24094","juguetes","DONAS CHIFLES - 24094","Descripción IDÉNTICA al título | Descripción MUY CORTA (21 chars) | longDescription IGUAL a description"
"prod_360","PELOTA ESPINA  CHIFLE","juguetes","PELOTA ESPINA  CHIFLE","Descripción IDÉNTICA al título | Descripción MUY CORTA (21 chars) | longDescription IGUAL a description"
"prod_361","PELOTA RUGBY CON HUESO","juguetes","PELOTA RUGBY CON HUESO","Descripción IDÉNTICA al título | Descripción MUY CORTA (22 chars) | longDescription IGUAL a description"
"prod_362","PESA / PINCHO","juguetes","PESA / PINCHO","Descripción IDÉNTICA al título | Descripción MUY CORTA (13 chars) | longDescription IGUAL a description"
"prod_368","HUESO CON HUESITO","juguetes","HUESO CON HUESITO","Descripción IDÉNTICA al título | Descripción MUY CORTA (17 chars) | longDescription IGUAL a description"
"prod_369","HUESO CON HUELLA","juguetes","HUESO CON HUELLA","Descripción IDÉNTICA al título | Descripción MUY CORTA (16 chars) | longDescription IGUAL a description"
"prod_371","CHIFLE CORAZON","juguetes","CHIFLE CORAZON","Descripción IDÉNTICA al título | Descripción MUY CORTA (14 chars) | longDescription IGUAL a description"
"prod_372","MAGDALENA ROSA","juguetes","MAGDALENA ROSA","Descripción IDÉNTICA al título | Descripción MUY CORTA (14 chars) | longDescription IGUAL a description"
"prod_373","ROSQUILLAS","juguetes","ROSQUILLAS","Descripción IDÉNTICA al título | Descripción MUY CORTA (10 chars) | longDescription IGUAL a description"
"prod_374","CHIFLE MINI","juguetes","CHIFLE MINI","Descripción IDÉNTICA al título | Descripción MUY CORTA (11 chars) | longDescription IGUAL a description"
"prod_375","CHIFLE PESA  11*4CM","juguetes","CHIFLE PESA  11*4CM","Descripción IDÉNTICA al título | Descripción MUY CORTA (19 chars) | longDescription IGUAL a description"
"prod_377","CONO DE HELADO / 8020-5","juguetes","CONO DE HELADO / 8020-5","Descripción IDÉNTICA al título | Descripción MUY CORTA (23 chars) | longDescription IGUAL a description"
"prod_378","PAPAS FRITAS / 5882-5","juguetes","PAPAS FRITAS / 5882-5","Descripción IDÉNTICA al título | Descripción MUY CORTA (21 chars) | longDescription IGUAL a description"
"prod_379","CHIFLE POPO","juguetes","CHIFLE POPO","Descripción IDÉNTICA al título | Descripción MUY CORTA (11 chars) | longDescription IGUAL a description"
"prod_380","CHIFLE HELADO 8528-5","juguetes","CHIFLE HELADO 8528-5","Descripción IDÉNTICA al título | Descripción MUY CORTA (20 chars) | longDescription IGUAL a description"
"prod_381","CHIFLE PAVO 8400-5","juguetes","CHIFLE PAVO 8400-5","Descripción IDÉNTICA al título | Descripción MUY CORTA (18 chars) | longDescription IGUAL a description"
"prod_382","CHIFLE PULPO MINI 8529-5","juguetes","CHIFLE PULPO MINI 8529-5","Descripción IDÉNTICA al título | Descripción MUY CORTA (24 chars) | longDescription IGUAL a description"
"prod_387","PELOTA LIMPIA DIENTE GRANDE","juguetes","PELOTA LIMPIA DIENTE GRANDE","Descripción IDÉNTICA al título | Descripción MUY CORTA (27 chars) | longDescription IGUAL a description"
"prod_388","MORDILLO TUERCA MULTI COLOR","juguetes","MORDILLO TUERCA MULTI COLOR","Descripción IDÉNTICA al título | Descripción MUY CORTA (27 chars) | longDescription IGUAL a description"
"prod_389","PELOTA CHIFLE RUGBY","juguetes","PELOTA CHIFLE RUGBY","Descripción IDÉNTICA al título | Descripción MUY CORTA (19 chars) | longDescription IGUAL a description"
"prod_390","MORDILLO HUESO DOBLE LARGO","juguetes","MORDILLO HUESO DOBLE LARGO","Descripción IDÉNTICA al título | Descripción MUY CORTA (26 chars) | longDescription IGUAL a description"
"prod_391","MORDILLO HUESO O 001","juguetes","MORDILLO HUESO O 001","Descripción IDÉNTICA al título | Descripción MUY CORTA (20 chars) | longDescription IGUAL a description"
"prod_392","MORDILLOHUESO ( Y ) 002","juguetes","MORDILLOHUESO ( Y ) 002","Descripción IDÉNTICA al título | Descripción MUY CORTA (23 chars) | longDescription IGUAL a description"
"prod_393","MORDILLO CIRCULO ( DONA ) 003","juguetes","MORDILLO CIRCULO ( DONA ) 003","Descripción IDÉNTICA al título | Descripción MUY CORTA (29 chars) | longDescription IGUAL a description"
"prod_394","MORDILLO PATA DE POLLO 004","juguetes","MORDILLO PATA DE POLLO 004","Descripción IDÉNTICA al título | Descripción MUY CORTA (26 chars) | longDescription IGUAL a description"
"prod_611","CINTURON DE SEGURIDAD SIMPLE","accesorios","CINTURON DE SEGURIDAD SIMPLE","Descripción IDÉNTICA al título | Descripción MUY CORTA (28 chars) | longDescription IGUAL a description"
"prod_615","CADENA REFORZADO TADEO  1,2M","accesorios","CADENA REFORZADO TADEO  1,2M","Descripción IDÉNTICA al título | Descripción MUY CORTA (28 chars) | longDescription IGUAL a description"
"prod_637","COLLAR  TIFANI T4 PERLAS","accesorios","COLLAR  TIFANI T4 PERLAS","Descripción IDÉNTICA al título | Descripción MUY CORTA (24 chars) | longDescription IGUAL a description"
"prod_654","COLLAR ELASTICO X12","accesorios","COLLAR ELASTICO X12","Descripción IDÉNTICA al título | Descripción MUY CORTA (19 chars) | longDescription IGUAL a description"
"prod_680","COLLAR CON BLONDAS Y ENCAJE","accesorios","COLLAR CON BLONDAS Y ENCAJE","Descripción IDÉNTICA al título | Descripción MUY CORTA (27 chars) | longDescription IGUAL a description"
"prod_697","CONJUNTO REFLECTOR 1,5CM","accesorios","CONJUNTO REFLECTOR 1,5CM","Descripción IDÉNTICA al título | Descripción MUY CORTA (24 chars) | longDescription IGUAL a description"
"prod_698","CONJUNTO REFLECTOR 2,5CM","accesorios","CONJUNTO REFLECTOR 2,5CM","Descripción IDÉNTICA al título | Descripción MUY CORTA (24 chars) | longDescription IGUAL a description"
"prod_706","CONJUNTO PECHERA  8393-5","accesorios","CONJUNTO PECHERA  8393-5","Descripción IDÉNTICA al título | Descripción MUY CORTA (24 chars) | longDescription IGUAL a description"
"prod_733","PECHERA SOLA P15","accesorios","PECHERA SOLA P15","Descripción IDÉNTICA al título | Descripción MUY CORTA (16 chars) | longDescription IGUAL a description"
"prod_734","PECHERA ALCOCHONADA POLICE K9","accesorios","PECHERA ALCOCHONADA POLICE K9","Descripción IDÉNTICA al título | Descripción MUY CORTA (29 chars) | longDescription IGUAL a description"
"prod_737","PECHERA ALCOCHONADA  T","accesorios","PECHERA ALCOCHONADA  T","Descripción IDÉNTICA al título | Descripción MUY CORTA (22 chars) | longDescription IGUAL a description"
"prod_744","CONJUNTO REGULABLE LISO","accesorios","CONJUNTO REGULABLE LISO","Descripción IDÉNTICA al título | Descripción MUY CORTA (23 chars) | longDescription IGUAL a description"
"prod_754","CONJUNTO ECONOMICO","accesorios","CONJUNTO ECONOMICO","Descripción IDÉNTICA al título | Descripción MUY CORTA (18 chars) | longDescription IGUAL a description"
"prod_763","PALITAS ""S"" COLORES SURTIDOS","higiene-cuidado","PALITAS ""S"" COLORES SURTIDOS","Descripción IDÉNTICA al título | Descripción MUY CORTA (28 chars) | longDescription IGUAL a description"
"prod_778","COMEDERO COME LENTO","accesorios","COMEDERO COME LENTO","Descripción IDÉNTICA al título | Descripción MUY CORTA (19 chars) | longDescription IGUAL a description"
"prod_779","CAZUELA HUELLA CHICA","accesorios","CAZUELA HUELLA CHICA","Descripción IDÉNTICA al título | Descripción MUY CORTA (20 chars) | longDescription IGUAL a description"
"prod_780","CAZUELA HUELLA MEDIANA","accesorios","CAZUELA HUELLA MEDIANA","Descripción IDÉNTICA al título | Descripción MUY CORTA (22 chars) | longDescription IGUAL a description"
"prod_781","CAZUELA HUELLA GRANDE","accesorios","CAZUELA HUELLA GRANDE","Descripción IDÉNTICA al título | Descripción MUY CORTA (21 chars) | longDescription IGUAL a description"
"prod_782","COMEDERO TOLVA  AGUA","accesorios","COMEDERO TOLVA  AGUA","Descripción IDÉNTICA al título | Descripción MUY CORTA (20 chars) | longDescription IGUAL a description"
"prod_785","COMEDERO CUADRADO DOBLE","accesorios","COMEDERO CUADRADO DOBLE","Descripción IDÉNTICA al título | Descripción MUY CORTA (23 chars) | longDescription IGUAL a description"
"prod_808","COMEDERO CON BASE DOBLE","accesorios","COMEDERO CON BASE DOBLE","Descripción IDÉNTICA al título | Descripción MUY CORTA (23 chars) | longDescription IGUAL a description"
"prod_809","COMEDERO CON CARITA Y PATITAS","accesorios","COMEDERO CON CARITA Y PATITAS","Descripción IDÉNTICA al título | Descripción MUY CORTA (29 chars) | longDescription IGUAL a description"
"prod_824","COMEDERO DE GATO","accesorios","COMEDERO DE GATO","Descripción IDÉNTICA al título | Descripción MUY CORTA (16 chars) | longDescription IGUAL a description"
"prod_831","COMEDERO OVALADO CHICO","accesorios","COMEDERO OVALADO CHICO","Descripción IDÉNTICA al título | Descripción MUY CORTA (22 chars) | longDescription IGUAL a description"
"prod_832","COMEDERO OVALADO MEDIANO","accesorios","COMEDERO OVALADO MEDIANO","Descripción IDÉNTICA al título | Descripción MUY CORTA (24 chars) | longDescription IGUAL a description"
"prod_833","COMEDERO OVALADO GRANDE","accesorios","COMEDERO OVALADO GRANDE","Descripción IDÉNTICA al título | Descripción MUY CORTA (23 chars) | longDescription IGUAL a description"
"prod_834","COMEDERO OVALADO COKER","accesorios","COMEDERO OVALADO COKER","Descripción IDÉNTICA al título | Descripción MUY CORTA (22 chars) | longDescription IGUAL a description"
"prod_835","COMEDERO OVALADO DOBLE","accesorios","COMEDERO OVALADO DOBLE","Descripción IDÉNTICA al título | Descripción MUY CORTA (22 chars) | longDescription IGUAL a description"
"prod_836","COMERERO DOBLE HUESO","accesorios","COMERERO DOBLE HUESO","Descripción IDÉNTICA al título | Descripción MUY CORTA (20 chars) | longDescription IGUAL a description"
"prod_843","PLATO CARA DE GATO","accesorios","PLATO CARA DE GATO","Descripción IDÉNTICA al título | Descripción MUY CORTA (18 chars) | longDescription IGUAL a description"
"prod_844","COMEDERO PECECITO DOBLE","accesorios","COMEDERO PECECITO DOBLE","Descripción IDÉNTICA al título | Descripción MUY CORTA (23 chars) | longDescription IGUAL a description"
"prod_845","BEBEDEROS AVES","accesorios","BEBEDEROS AVES","Descripción IDÉNTICA al título | Descripción MUY CORTA (14 chars) | longDescription IGUAL a description"
"prod_854","COMELENTO MEDIANO REDONDO","accesorios","COMELENTO MEDIANO REDONDO","Descripción IDÉNTICA al título | Descripción MUY CORTA (25 chars) | longDescription IGUAL a description"
"prod_855","COMELENTO CHICO REDONDO","accesorios","COMELENTO CHICO REDONDO","Descripción IDÉNTICA al título | Descripción MUY CORTA (23 chars) | longDescription IGUAL a description"
"prod_139","ZOOTEC PIEDRAS AGLUTINANTES LAVANDA","higiene-cuidado","ZOOTEC PIEDRAS AGLUTINANTES LAVANDA","Descripción IDÉNTICA al título | longDescription IGUAL a description"
"prod_145","COLCHON FANTASIA ESPUMA","casa-descanso","Talle S (50 x 70 CM) , Talle M (60 x 80 CM) Talle L (70 x 90 CM) , Talle XL (80 x 100 CM)","longDescription IGUAL a description | Descripción solo tiene MEDIDAS/TALLAS"
"prod_146","COLCHONETA  FANTASIA PLUSH","casa-descanso","Talle S (50 x 65 CM) , Talle M (60 x 75 CM) Talle L (70 x 85 CM) , Talle XL (80 x 95 CM)","longDescription IGUAL a description | Descripción solo tiene MEDIDAS/TALLAS"
"prod_149","MOISES IGLU  PREMIUN","casa-descanso","N°1 (45 x 35 x 23 CM) , N°2 (55 x 40 x 27 CM), N°3 (60 x 45 x 33 CM)","longDescription IGUAL a description | Descripción solo tiene MEDIDAS/TALLAS"
"prod_151","COCHONETA ANTI-DESGARRO","casa-descanso","N°1 (60 x 60 CM) , N°2 (70 X 70 CM) N°3 (80 X 80 CM) , N°4 (90 X 90 CM)","longDescription IGUAL a description | Descripción solo tiene MEDIDAS/TALLAS"
"prod_152","MOISES ECONOMICO","casa-descanso","N°1 (35 CM) , N°2 (40 CM) N°3 (45 CM) , N°4 (50 CM)","longDescription IGUAL a description | Descripción solo tiene MEDIDAS/TALLAS"
